scene_id,satellite,acquisition_date,latitude,longitude,cloud_cover_pct,sun_elevation_deg,sun_azimuth_deg,data_quality_score,processing_level,pixel_count,valid_pixel_pct
LC08_L2SP_155055_20230101,Landsat-8,2023-01-01,6.2517,0.0965,37.81,65.07,146.78,0.761,L2A,10454813,62.5
LC08_L2SP_156055_20230101,Landsat-8,2023-01-01,7.7001,-0.1293,16.31,53.3,144.65,0.987,L1C,10290501,84.54
LC08_L2SP_157055_20230101,Landsat-8,2023-01-01,9.8585,-0.8692,13.63,55.59,165.74,0.811,L1C,9733368,82.91
LC08_L2SP_158055_20230101,Landsat-8,2023-01-01,7.951,-2.735,20.82,68.81,134.33,0.79,L2A,9705814,79.1
LC08_L2SP_159055_20230101,Landsat-8,2023-01-01,7.0203,-1.0237,22.6,57.45,100.14,0.728,L2A,11126942,81.9
LC08_L2SP_160055_20230101,Landsat-8,2023-01-01,8.6634,0.1918,31.52,59.68,195.4,0.746,L1C,10370378,70.24
S2A_MSIL2A_0000_20230101,Sentinel-2A,2023-01-01,7.4703,-2.7595,32.71,48.93,130.87,0.839,L1C,11195579,67.09
S2A_MSIL2A_0001_20230101,Sentinel-2A,2023-01-01,7.0991,0.6152,37.88,60.06,139.72,0.936,L2A,9659607,60.35
S2A_MSIL2A_0002_20230101,Sentinel-2A,2023-01-01,6.8,-1.2147,35.97,68.89,152.24,0.838,L2A,9991676,63.46
S2A_MSIL2A_0003_20230101,Sentinel-2A,2023-01-01,9.6713,-2.9236,21.49,53.05,123.69,0.812,L1C,9106252,78.04
S2A_MSIL2A_0004_20230101,Sentinel-2A,2023-01-01,8.3487,0.7773,35.22,66.52,114.71,0.898,L2A,9984068,64.54
S2A_MSIL2A_0005_20230101,Sentinel-2A,2023-01-01,6.8677,-0.8292,0.0,73.31,173.78,0.712,L2A,11042060,95.34
LC08_L2SP_155055_20230117,Landsat-8,2023-01-17,6.2517,0.0965,17.85,58.89,105.55,0.862,L2A,9614594,82.0
LC08_L2SP_156055_20230117,Landsat-8,2023-01-17,7.7001,-0.1293,2.86,69.37,158.08,0.834,L2A,8896314,97.84
LC08_L2SP_157055_20230117,Landsat-8,2023-01-17,9.8585,-0.8692,3.4,68.47,185.7,0.71,L1C,10202172,97.15
LC08_L2SP_158055_20230117,Landsat-8,2023-01-17,7.951,-2.735,0.0,52.89,152.73,0.995,L2A,8790131,106.03
LC08_L2SP_159055_20230117,Landsat-8,2023-01-17,7.0203,-1.0237,38.61,70.36,116.83,0.899,L1C,11778219,60.47
LC08_L2SP_160055_20230117,Landsat-8,2023-01-17,8.6634,0.1918,33.51,58.89,138.68,0.859,L1C,8032866,64.51
S2A_MSIL2A_0000_20230117,Sentinel-2A,2023-01-17,7.4703,-2.7595,11.21,49.48,102.32,0.857,L1C,8395092,88.43
S2A_MSIL2A_0001_20230117,Sentinel-2A,2023-01-17,7.0991,0.6152,0.89,45.35,129.92,0.712,L1C,8966411,99.78
S2A_MSIL2A_0002_20230117,Sentinel-2A,2023-01-17,6.8,-1.2147,17.09,68.14,186.62,0.883,L1C,11650610,84.47
S2A_MSIL2A_0003_20230117,Sentinel-2A,2023-01-17,9.6713,-2.9236,14.53,61.39,145.04,0.908,L1C,10690244,87.54
S2A_MSIL2A_0004_20230117,Sentinel-2A,2023-01-17,8.3487,0.7773,15.61,57.54,118.14,0.856,L1C,10601856,83.16
S2A_MSIL2A_0005_20230117,Sentinel-2A,2023-01-17,6.8677,-0.8292,41.62,62.2,177.01,0.818,L1C,8825143,58.58
LC08_L2SP_155055_20230202,Landsat-8,2023-02-02,6.2517,0.0965,14.72,51.98,145.11,0.783,L2A,11282632,83.63
LC08_L2SP_156055_20230202,Landsat-8,2023-02-02,7.7001,-0.1293,19.86,61.14,151.18,0.773,L1C,10414238,77.54
